system:index,area,elevation,fractal_dim,perimeter,.geo
0,96209383,1800,1.112502545100023,63407,
1,95179735,1810,1.1113437821651038,63466,
2,94104912,1820,1.11024704373576,62345,
3,93097137,1830,1.1089631321679376,61735,
4,92057395,1840,1.1086338165027525,62349,
5,90877987,1850,1.1098297649073643,63855,
6,89246563,1860,1.1057102021574245,63091,
7,87479500,1870,1.1008274268377334,62156,
8,85714503,1880,1.0987665162819735,62463,
9,83746969,1890,1.0991492591268153,63444,
10,81567779,1900,1.098700115877228,63500,
11,79103422,1910,1.0999576179089678,64282,
12,76143171,1920,1.0993703167059479,62839,
13,73559686,1930,1.0996209121381242,63100,
14,70820679,1940,1.0913252024890552,57088,
15,68855678,1950,1.0911812921921802,56325,
16,66928754,1960,1.0891202315814867,54523,
17,65149313,1970,1.0898311387432333,54037,
18,63436104,1980,1.0903067400959414,53664,
19,61870799,1990,1.0920804025547588,53851,
20,60399853,2000,1.090476216284821,52469,
21,59079681,2010,1.0907012593016903,51872,
22,57867149,2020,1.091489562510511,51534,
23,56728786,2030,1.0915356289523235,51138,
24,55562440,2040,1.092926533638177,51109,
25,54512662,2050,1.094798291957507,51443,
26,53518410,2060,1.0955420090250074,51318,
27,52589889,2070,1.097449748911713,51738,
28,51692043,2080,1.0987399451124689,51962,
29,50789170,2090,1.0993157510149623,51774,
30,49934024,2100,1.1011693177216368,52143,
31,49077290,2110,1.1028503334764592,52511,
32,48152424,2120,1.1014552461815996,51410,
33,47310116,2130,1.1026514570212507,51700,
34,46485880,2140,1.1040324778067963,51805,
35,45666579,2150,1.1046432095846048,51883,
36,44847037,2160,1.1037270942680477,51210,
37,44048611,2170,1.1038776018591163,50857,
38,43222953,2180,1.1011664182674874,49201,
39,42457037,2190,1.1011321915056198,48554,
40,41695816,2200,1.1016711118917573,48102,
41,40931569,2210,1.1025908332046488,47515,
42,40177107,2220,1.1035642632346758,47411,
43,39380203,2230,1.101608360428221,45475,
44,38588533,2240,1.0978343383385878,43121,
45,37907909,2250,1.0981638865689511,42804,
46,37232695,2260,1.0985472426487182,42757,
47,36508479,2270,1.0959357197603314,41345,
48,35847053,2280,1.095254127618778,40779,
49,35164371,2290,1.0947770932797987,40042,
50,34483826,2300,1.0957766919512406,39751,
51,33801372,2310,1.0940078839774188,38748,
52,33163689,2320,1.0942036897987517,38542,
53,32532378,2330,1.0936896726339733,38206,
54,31898994,2340,1.0934605568097489,37921,
55,31253976,2350,1.092735312018708,37326,
56,30623935,2360,1.0829680588176533,36917,
57,29999710,2370,1.084145920499018,36770,
58,29342898,2380,1.0808934795997243,35332,
59,28700125,2390,1.0800643561309884,34170,
60,28079717,2400,1.0788960392073594,33421,
61,27450218,2410,1.0796845743262145,33152,
62,26791640,2420,1.0818688007752961,33061,
63,26092277,2430,1.076301052979672,31473,
64,25479907,2440,1.0752321370495876,30895,
